name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries,is_pro,activity_score
Hamed Junior Traorè,150,,,33.5,20.6,,0.0,2.35,1.76,,8.24,0,30.6
Thomas Delaney,141,,,42.5,29.4,,0.0,1.88,1.25,,8.13,0,38.78
Allan,2183,,,39.8,31.2,,0.12,3.17,2.51,,11.2,1,44.91
Gaetano Castrovilli,56,,,40.0,38.3,,0.0,3.33,3.33,,10.0,1,51.63
Fran Beltrán,1614,,,60.8,54.6,,0.06,0.95,0.61,,6.42,1,61.63
Raphaël Varane,1299,,,54.6,47.2,,0.14,1.32,0.49,,5.07,1,52.76
Darwin Núñez,989,,,19.1,12.3,,2.27,0.55,0.27,,2.0,0,14.57
James Milner,853,,,78.8,65.6,,0.21,3.68,2.42,,11.5,1,79.52
Gerson Rodrigues,848,,,23.5,17.7,,0.74,1.17,0.74,,5.11,0,23.55
João Moutinho,58,,,70.0,50.0,,0.0,11.7,1.67,,11.7,1,63.37
Alexander Hack,1090,,,47.1,34.6,,0.0,2.4,1.32,,6.61,1,42.53
Francis Coquelin,830,,,52.2,46.1,,0.22,3.04,1.52,,8.7,1,56.32
Lucas Perrin,913,,,43.9,36.2,,0.1,2.67,1.49,,5.74,1,43.43
Hiroki Ito,2348,,,70.0,57.2,,0.08,1.72,0.92,,10.7,1,68.82
Lucas Alario,248,,,21.1,14.6,,0.71,1.07,0.71,,2.86,0,18.17
Juan Bernat,958,,,66.1,61.1,,0.09,2.26,1.42,,5.19,1,67.71
Mats Hummels,1765,,,77.4,68.0,,0.15,1.94,1.28,,13.5,1,82.78
Marcelo Saracchi,186,,,51.9,40.5,,0.0,2.86,1.43,,8.1,1,50.03
Angelo Ogbonna,921,,,44.3,38.4,,0.1,1.27,0.78,,7.65,1,46.83
Youssouf Fofana,2190,,,49.3,37.9,,0.29,2.96,2.1,,9.3,1,49.3
Ellis Simms,17,,,20.0,15.0,,0.0,0.0,0.0,,5.0,0,20.0
Unai Vencedor Paris,2383,,,49.5,38.5,,0.04,1.17,0.75,,10.5,1,49.75
Jason Steele,90,,,38.0,34.0,,0.0,0.0,0.0,,3.0,0,37.0
Odsonne Édouard,1093,,,22.7,16.3,,0.83,1.74,0.83,,3.31,0,20.44
Sebastian Polter,465,,,22.3,12.1,,0.77,0.77,0.58,,3.85,0,16.53
Leonardo Spinazzola,807,,,49.7,38.2,,0.22,0.56,0.33,,5.22,1,43.75
Marcel Sabitzer,905,,,70.8,57.5,,0.59,2.18,0.89,,11.1,1,69.49
Mattia Zaccagni,1607,,,30.4,24.2,,0.89,1.56,1.01,,4.02,0,29.23
Amos Pieper,2379,,,42.5,34.3,,0.08,1.97,1.06,,9.62,1,44.98
Mohamed Elyounoussi,1400,,,27.1,18.0,,0.45,1.86,1.03,,6.15,0,25.18
Rafael Borré,2378,,,26.9,19.6,,0.91,1.29,1.02,,4.32,0,24.94
Sergio Gómez,111,,,73.3,60.0,,0.0,1.67,0.83,,4.17,1,65.0
Memphis Depay,1851,,,46.8,35.2,,1.41,0.58,0.34,,4.47,1,40.01
Maximilian Ullmann,246,,,24.1,16.7,,0.0,0.0,0.0,,5.56,0,22.26
Taiwo Awoniyi,2174,,,20.0,13.8,,1.24,0.7,0.37,,4.5,0,18.67
Daniele Rugani,879,,,55.6,50.4,,0.0,0.92,0.71,,6.73,1,57.84
Federico Ceccherini,2358,,,46.4,37.5,,0.08,1.49,1.18,,10.2,1,48.88
Emil Audero,1890,,,36.3,23.9,,0.0,0.0,0.0,,1.52,0,25.42
Gonzalo Plata,919,,,31.6,24.5,,0.88,2.84,1.67,,5.0,0,31.17
Aleksander Buksa,63,,,21.4,8.57,,0.0,0.0,0.0,,7.14,0,15.71
Filippo Bandinelli,1506,,,41.9,30.8,,0.3,2.1,1.32,,5.45,0,37.57
Rafa Mir,764,,,17.3,12.2,,1.06,0.71,0.12,,2.94,0,15.26
Miha Bla?i?,1485,,,55.0,47.8,,0.12,0.18,0.18,,5.52,1,53.5
Jason Mbock,17,,,25.0,15.0,,0.0,0.0,0.0,,5.0,0,20.0
Diego Llorente,1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0,0.0
Mamadou Fall,30,,,53.3,43.3,,0.0,0.0,0.0,,13.3,1,56.6
Stevan Joveti?,1017,,,33.4,23.4,,1.42,0.44,0.27,,5.04,0,28.71
Lorenzo Pellegrini,2289,,,42.8,30.7,,1.06,1.42,0.75,,5.35,0,36.8
Jude Bellingham,1690,,,54.6,44.1,,0.74,2.93,1.54,,7.71,1,53.35
Rafa? Gikiewicz,1440,,,48.6,34.5,,0.0,0.13,0.13,,2.75,0,37.38
Filippo Terracciano,7,,,50.0,30.0,,0.0,0.0,0.0,,10.0,1,40.0
Marko Milovanovi?,15,,,45.0,20.0,,0.0,0.0,0.0,,0.0,0,20.0
Robin Hack,1364,,,32.4,23.5,,0.39,1.18,0.86,,6.84,0,31.2
Mathys Tel,252,,,42.1,34.6,,2.14,0.0,0.0,,4.29,0,38.89
Alberth Elis,71,,,17.5,12.5,,0.0,2.5,1.25,,5.0,0,18.75
Edin D?eko,1298,,,25.4,18.1,,1.25,0.07,0.07,,3.26,0,21.43
Andriy Yarmolenko,316,,,30.6,22.6,,1.43,0.86,0.0,,4.86,0,27.46
Sergio Herrera,3240,,,31.9,18.3,,0.0,0.0,0.0,,5.17,0,23.47
Derek Mazou-Sacko,3,,,1.0,0.0,,0.0,1.0,0.0,,0.0,0,0.0
Nicolai Rapp,71,,,73.8,58.8,,0.0,3.75,1.25,,7.5,1,67.55
Martín Montoya,183,,,56.0,42.0,,0.0,3.5,2.5,,4.0,1,48.5
David Raya,2160,,,43.8,29.4,,0.0,0.0,0.0,,5.25,0,34.65
Leander Dendoncker,341,,,38.9,33.9,,0.0,2.89,1.05,,5.26,1,40.21
Soma Novothny,80,,,18.9,13.3,,1.11,1.11,0.0,,3.33,0,16.63
Thilo Kehrer,1513,,,72.3,68.7,,0.24,1.67,1.13,,6.07,1,75.9
Jack Cork,1670,,,30.8,23.2,,0.05,0.91,0.43,,9.95,0,33.58
Stuart Armstrong,1473,,,44.8,35.5,,0.55,1.59,0.91,,8.96,1,45.37
Adnan Januzaj,1625,,,40.7,26.4,,0.72,0.99,0.55,,4.97,0,31.92
Mamadou Camara,40,,,30.0,25.0,,2.5,2.5,0.0,,2.5,0,27.5
Andrej Kramari?,2707,,,35.1,27.2,,1.16,0.47,0.33,,5.05,0,32.58
Rayan Cherki,440,,,52.7,40.2,,0.61,1.22,0.61,,4.9,1,45.71
Luigi Sepe,1350,,,36.8,24.9,,0.0,0.0,0.0,,1.6,0,26.5
Gaëtan Perrin,776,,,27.8,20.9,,0.93,0.93,0.23,,4.77,0,25.9
Craig Dawson,180,,,54.5,48.0,,0.5,1.0,0.5,,6.0,1,54.5
Yunus Musah,1391,,,36.6,29.7,,0.13,2.13,1.55,,4.26,0,35.51
Santiago Arzamendia,299,,,37.3,24.2,,0.3,1.52,1.21,,8.18,0,33.59
Przemys?aw Frankowski,1579,,,63.9,47.4,,0.17,2.8,1.77,,4.63,1,53.8
Diego Falcinelli,66,,,30.0,18.6,,0.0,5.71,2.86,,2.86,0,24.32
Kevin Vázquez,1334,,,59.1,46.6,,0.07,2.77,1.62,,8.99,1,57.21
Joaquín Blázquez,90,,,29.0,21.0,,0.0,0.0,0.0,,0.0,0,21.0
Fares Chaïbi,1366,,,36.0,25.6,,0.66,1.18,0.59,,4.14,0,30.33
Blanco,158,,,33.9,31.7,,0.0,3.33,2.22,,3.89,0,37.81
Thiago Silva,2650,,,85.9,79.8,,0.17,1.22,0.78,,10.4,1,90.98
Enzo Tchato,939,,,44.6,32.1,,0.1,2.02,1.35,,4.23,0,37.68
Martín Cáceres,832,,,49.8,34.6,,0.11,1.96,1.3,,10.3,1,46.2
Jens Cajuste,858,,,44.4,36.0,,0.32,3.79,1.79,,7.16,1,44.95
Yuri Berchiche,1015,,,56.7,45.0,,0.27,2.57,1.59,,10.4,1,56.99
Kevin Schade,27,,,30.0,16.7,,0.0,3.33,0.0,,0.0,0,16.7
Albert Sambi Lokonga,1134,,,63.7,57.1,,0.63,1.75,1.03,,9.84,1,67.97
?ukasz Fabia?ski,1873,,,27.3,17.9,,0.0,0.0,0.0,,0.48,0,18.38
James Justin,1252,,,58.9,48.0,,0.0,1.44,1.29,,4.6,1,53.89
Mario Gila,25,,,73.3,66.7,,0.0,3.33,3.33,,13.3,1,83.33
Kiernan Dewsbury Hall,2105,,,52.1,40.2,,0.13,1.71,1.07,,8.97,1,50.24
Sven Botman,1687,,,51.5,44.2,,0.21,1.28,0.75,,4.81,1,49.76
Abdoulaye Doucouré,318,,,42.6,33.4,,0.29,2.0,1.43,,7.14,1,41.97
Mickaël Barreto,343,,,43.9,31.3,,0.0,3.16,1.58,,5.79,0,38.67
Exequiel Palacios,835,,,62.7,54.2,,0.32,3.66,1.83,,9.25,1,65.28
Javi Sánchez,1431,,,44.5,36.9,,0.06,1.64,0.75,,4.15,1,41.8
Rémy Riou,331,,,33.5,28.4,,0.0,0.27,0.0,,2.16,0,30.56
Daniele Baselli,290,,,46.9,34.7,,0.0,1.88,0.94,,10.3,1,45.94
Pontus Jansson,3321,,,39.3,32.2,,0.27,0.98,0.68,,10.1,1,42.98
Josh Dasilva,257,,,30.3,24.5,,0.0,1.38,0.69,,10.3,0,35.49
Aymeric Laporte,2828,,,90.9,86.1,,0.22,0.99,0.54,,9.17,1,95.81
Jesús Santiago,82,,,40.0,28.9,,0.0,2.22,1.11,,15.6,1,45.61
Bebé,60,,,54.3,30.0,,0.0,0.0,0.0,,8.57,0,38.57
Johan Mojica,457,,,54.5,44.7,,0.2,2.35,1.76,,7.25,1,53.71
Vincent Le Goff,3060,,,54.1,42.6,,0.12,2.03,1.18,,7.32,1,51.1
Jeremy Toljan,1679,,,53.6,45.1,,0.0,1.28,0.91,,4.81,1,50.82
Hugo Bueno,866,,,45.1,36.4,,0.1,2.71,1.46,,5.73,1,43.59
Anthony Khelifa,9,,,120.0,110.0,,0.0,0.0,0.0,,20.0,1,130.0
Amine Salama,998,,,23.6,17.2,,0.72,0.72,0.63,,3.24,0,21.07
Florian Chabrolle,321,,,36.9,32.2,,0.28,1.67,1.11,,6.11,0,39.42
Alex Sandro,1780,,,55.4,46.8,,0.1,1.46,0.86,,8.64,1,56.3
Ángel Montoro,1331,,,44.8,33.7,,0.27,1.76,1.22,,7.91,1,42.83
Issa Diop,963,,,43.8,37.8,,0.19,0.84,0.28,,8.97,1,47.05
Marc Guéhi,1890,,,57.0,49.4,,0.19,1.57,0.76,,5.86,1,56.02
Jon Guridi,206,,,34.8,25.7,,0.43,2.61,1.74,,6.09,0,33.53
Adri Embarba,35,,,15.0,10.0,,0.0,2.5,0.0,,5.0,0,15.0
Rafael Leão,2605,,,27.9,20.0,,1.31,0.8,0.62,,4.88,0,25.5
Leroy Sané,1223,,,50.4,41.4,,1.47,1.54,1.18,,4.71,1,47.29
Moisés Caicedo,1729,,,61.4,54.1,,0.26,2.97,1.46,,6.67,1,62.23
Cristiano Ronaldo,31,,,40.0,30.0,,0.0,0.0,0.0,,6.67,0,36.67
Ben Johnson,554,,,54.8,40.0,,0.0,2.1,1.45,,6.45,1,47.9
Arnaut Danjuma,12,,,110.0,60.0,,0.0,0.0,0.0,,0.0,1,60.0
Borja Iglesias,1480,,,19.2,14.2,,0.85,0.49,0.24,,1.65,0,16.09
Valon Berisha,455,,,36.3,25.1,,0.0,2.35,1.18,,7.06,0,33.34
Sérgio Oliveira,892,,,50.4,40.9,,0.51,3.03,2.12,,7.68,1,50.7
Alberto Del Moral,5,,,10.0,0.0,,0.0,0.0,0.0,,0.0,0,0.0
Valère Germain,582,,,27.4,18.9,,0.77,0.77,0.77,,2.15,0,21.82
Suso,384,,,43.3,33.0,,0.47,1.16,0.47,,3.72,0,37.19
Adil Rami,1171,,,39.9,33.8,,0.23,1.38,1.0,,7.23,1,42.03
Jonas Lössl,180,,,31.0,22.0,,0.0,0.0,0.0,,4.0,0,26.0
Dennis Praet,1539,,,34.8,26.0,,0.41,1.29,0.58,,6.9,0,33.48
Manuel Lanzini,126,,,59.3,48.6,,0.0,0.0,0.0,,5.0,1,53.6
Pontus Jansson,515,,,42.3,34.4,,0.0,0.53,0.35,,2.81,0,37.56
Youba Diarra,42,,,38.0,32.0,,0.0,4.0,0.0,,16.0,1,48.0
Nemanja Maksimovi?,711,,,24.6,20.0,,0.13,1.65,0.51,,3.67,0,24.18
Amine Gouiri,1356,,,23.9,19.2,,1.46,1.13,0.6,,2.65,0,22.45
Marcus Coco,930,,,32.1,22.5,,0.19,3.11,1.94,,7.48,0,31.92
Luca Fiordilino,661,,,40.4,34.4,,0.14,3.42,1.78,,8.77,1,44.95
Dion Lopy,1642,,,34.5,29.7,,0.11,3.19,2.09,,7.36,0,39.15
Luuk de Jong,654,,,26.0,19.3,,1.23,1.37,1.37,,4.25,0,24.92
Lucas Calodat,4,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0,2.0
Andriy Lunin,450,,,31.6,28.6,,0.0,0.0,0.0,,1.8,0,30.4
Jeison Murillo,685,,,48.3,39.3,,0.0,2.11,1.18,,5.79,1,46.27
Evann Guessand,438,,,15.5,11.6,,0.82,1.84,1.22,,4.29,0,17.11
Hugo Lloris,1890,,,29.8,23.5,,0.0,0.05,0.05,,1.29,0,24.84
Mariano,44,,,20.0,14.0,,0.0,2.0,0.0,,6.0,0,20.0
Akim Zedadka,495,,,49.5,38.0,,0.0,2.36,1.82,,6.36,1,46.18
Rafael Borré,492,,,35.3,26.0,,0.55,2.55,1.82,,5.09,0,32.91
Dan-Axel Zagadou,531,,,63.6,52.5,,0.51,1.02,0.51,,4.75,1,57.76
Illan Meslier,1890,,,30.3,18.2,,0.0,0.05,0.0,,0.86,0,19.06
Ander Capa,8,,,20.0,10.0,,0.0,0.0,0.0,,0.0,0,10.0
