name,minutes,passes_success,passes_total,shots_on_target,duels_won,duels_total,recoveries_high
Ethan Ampadu,2282,34.1,45.4,0.04,1.69,2.99,10.4
Sofyan Amrabat,944,61.1,67.7,0.29,2.1,2.95,10.9
Joachim Andersen,2916,56.0,67.8,0.09,0.71,1.11,8.86
Felipe Anderson,2888,34.5,44.4,0.5,1.56,2.55,5.95
Sebastian Andersson,1257,12.0,18.1,0.93,0.64,0.93,3.07
Florin Andone,176,14.0,20.0,0.5,0.0,0.0,4.0
Andrés Andrade Cedeño,1046,30.4,44.6,0.26,1.72,2.5,11.2
Fredrik André Bjørkan,353,33.6,42.1,0.0,1.79,2.82,9.23
Benjamin André,2752,46.7,57.8,0.16,2.55,3.76,11.5
Robert Andrich,1817,41.2,50.0,0.35,1.63,2.08,11.3
José Ángel,1083,49.9,65.7,0.25,2.0,2.42,10.6
Angeliño,2298,42.9,59.1,0.27,0.71,1.37,7.92
Ebenezer Annan,25,13.3,36.7,0.0,0.0,6.67,13.3
Cristian Ansaldi,691,38.1,53.6,0.13,1.17,2.73,7.79
Janis Antiste,796,15.8,24.1,0.23,1.25,2.05,4.55
Waldemar Anton,2595,53.5,62.5,0.21,1.15,1.63,10.1
Josep Antoni Gayá,58,33.3,41.7,0.0,0.0,0.0,6.67
Michail Antonio,2971,14.1,21.5,0.82,0.7,0.85,4.18
Christopher Antwi-Adjei,1130,13.0,20.8,0.79,1.51,2.14,5.56
Houssem Aouar,2504,45.8,52.5,0.9,1.19,1.91,7.41
Adil Aouchiche,1081,40.0,52.6,0.83,1.08,1.75,8.0
Dennis Appiah,2099,33.3,42.7,0.0,1.55,2.92,7.12
Mauro Arambarri,2663,32.0,42.6,0.27,1.25,2.16,9.59
Mattia Aramu,2100,22.7,34.5,0.69,0.47,0.9,5.19
Charles Aránguiz,1578,52.1,62.1,0.17,1.89,2.91,11.2
Néstor Araujo,2617,45.7,52.2,0.03,0.58,0.93,9.73
Ronald Araújo,2272,58.9,65.2,0.4,1.31,1.94,8.21
