name,minutes,passes_success,passes_total,shots_on_target,duels_won,duels_total,recoveries_high
Silas Katompa,277,12.9,20.3,0.0,0.65,1.29,8.06
Noah Katterbach,16,30.0,60.0,0.0,0.0,5.0,15.0
Eiji Kawashima,90,28.0,31.0,0.0,0.0,0.0,5.0
Edo Kayembe,799,41.0,48.1,0.0,1.69,2.36,11.7
Moise Kean,1,1.0,1.0,0.0,0.0,0.0,0.0
Moise Kean,1098,14.7,19.5,0.82,0.49,0.82,4.34
Michael Keane,2792,28.9,37.2,0.19,1.13,1.58,10.4
Ilan Kebbal,1772,31.6,42.6,0.3,1.07,1.68,7.01
Wajdi Kechrida,952,23.5,32.4,0.09,1.13,1.51,6.23
Thilo Kehrer,1513,68.7,72.3,0.24,1.13,1.67,6.07
Habib Keita,7,60.0,60.0,20.0,0.0,0.0,0.0
Naby Keïta,1173,50.1,58.4,0.54,2.15,3.62,9.85
Yannik Keitel,504,23.0,33.2,0.36,1.61,2.68,11.8
Caoimhín Kelleher,180,40.5,45.0,0.0,0.0,0.0,5.5
Marc-Oliver Kempf,1051,27.0,37.3,0.09,1.28,1.54,9.66
Marc-Oliver Kempf,840,51.4,62.2,0.65,1.51,2.47,13.1
Kenedy,58,63.3,81.7,0.0,3.33,5.0,8.33
Jonjoe Kenny,1018,31.2,41.9,0.0,1.06,1.68,8.23
Dimitrios Keramitsis,1,0.0,0.0,0.0,0.0,0.0,0.0
Franck Kessié,2308,45.4,51.9,0.31,1.33,2.03,9.61
Saîf-Eddine Khaoui,927,28.3,38.4,0.68,1.75,2.23,5.73
Wahbi Khazri,2225,17.4,25.2,0.73,0.81,1.26,5.51
Rani Khedira,2757,22.8,30.9,0.07,1.67,2.61,9.8
Kike,1862,17.0,25.0,0.92,0.58,0.82,4.59
Luca Kilian,1,0.0,1.0,0.0,0.0,0.0,1.0
Luca Kilian,2281,45.7,53.4,0.08,0.95,1.86,9.01
Max Kilman,2687,42.8,49.4,0.13,1.1,1.77,7.96
Joshua Kimmich,2474,80.0,94.0,0.29,1.2,1.56,12.3
Presnel Kimpembe,2576,75.9,78.4,0.03,0.73,1.36,7.1
Joshua King,2248,15.5,21.0,0.72,0.84,1.24,4.2
Jakub Kiwior,1964,25.2,31.9,0.18,1.15,2.43,8.94
Sofian Kiyine,1239,28.7,38.6,0.36,1.38,2.17,7.75
Simon Kjær,802,45.1,51.0,0.11,1.57,2.58,6.29
Kristoffer Klaesson,36,22.5,27.5,0.0,0.0,0.0,5.0
Philipp Klement,338,56.3,71.6,0.53,1.84,1.84,10.3
Mateusz Klich,2073,34.2,43.7,0.78,1.13,2.13,9.83
Thibault Klidje,86,29.0,39.0,0.0,1.0,1.0,9.0
Mateo Klimowicz,603,21.8,29.3,0.45,0.9,1.79,4.93
Fabian Klos,1420,15.0,28.0,0.89,0.06,0.38,4.49
Lukas Klostermann,1648,51.0,58.5,0.05,0.77,1.91,10.0
Justin Kluivert,1868,21.6,33.6,0.48,0.58,1.15,4.9
Lukas Klünter,194,30.5,45.5,0.0,0.91,0.91,10.0
Ansgar Knauff,759,26.3,41.3,0.48,1.07,2.26,8.33
Ansgar Knauff,114,17.7,28.5,0.0,1.54,3.85,6.15
Robin Knoche,2970,41.3,51.0,0.12,0.79,1.36,12.5
Gregor Kobel,2565,29.2,35.8,0.0,0.0,0.0,5.4
Robin Koch,1574,30.3,38.9,0.06,1.14,1.77,9.6
Samuel Koeberlé,1,1.0,1.0,0.0,0.0,0.0,0.0
Philippe Koffi,375,12.1,19.0,0.48,0.48,1.19,4.05
Dominik Kohr,1614,36.1,47.6,0.11,1.51,2.4,12.8
Koba Koindredi,181,19.0,25.0,0.0,0.5,1.5,9.0
Koke,2508,54.1,63.1,0.22,1.11,1.79,8.28
Aleksandr Kokorin,55,28.3,43.3,0.0,0.0,1.67,1.67
Aleksandar Kolarov,42,60.0,74.0,0.0,2.0,2.0,6.0
Sead Kolainac,440,39.2,50.2,0.0,1.02,1.22,8.57
Sead Kolainac,91,10.0,13.0,0.0,1.0,1.0,2.0
Luca Koleosho,1,1.0,1.0,0.0,0.0,0.0,0.0
Randal Kolo Muani,2948,12.3,18.3,0.79,0.58,0.85,4.48
Timothée Kolodziejczak,2565,44.1,55.9,0.21,1.02,1.61,9.61
Ghislain Konan,2418,36.8,48.6,0.19,0.71,1.34,8.25
Ibrahima Konaté,990,59.5,66.2,0.0,0.73,1.27,11.6
Geoffrey Kondogbia,1882,42.1,48.2,0.05,2.25,3.59,12.2
Ibrahima Koné,732,12.5,17.5,0.99,0.74,1.36,3.21
Kouadio Koné,2183,43.1,49.0,0.41,1.85,2.8,10.0
Youssouf Koné,980,30.7,40.1,0.28,1.56,3.21,7.71
Ezri Konsa,2477,30.9,35.3,0.22,0.51,0.95,6.65
Teun Koopmeiners,2126,50.2,62.8,0.38,1.02,1.69,9.66
Laurent Koscielny,933,47.7,52.3,0.0,0.77,1.35,7.88
Odilon Kossonou,1793,49.1,58.3,0.05,1.11,1.66,8.54
Filip Kosti?,2522,37.1,57.8,0.64,1.04,1.54,8.11
Rominigue Kouamé,2968,42.2,48.0,0.33,0.97,1.55,9.21
Nianzou Kouassi,582,74.9,81.1,0.15,0.92,1.69,9.69
Kalidou Koulibaly,2405,53.4,61.0,0.26,1.61,2.25,8.31
Jules Koundé,2736,62.6,69.9,0.1,0.72,1.25,10.8
Christos Kourfalidis,18,40.0,60.0,5.0,0.0,0.0,30.0
Boubakar Kouyaté,2665,31.6,37.7,0.17,1.62,3.31,8.65
Cheikhou Kouyaté,1974,30.0,36.0,0.0,1.55,2.74,11.8
Mateo Kova?i?,1558,61.6,69.0,0.35,2.31,3.01,9.36
Viktor Kovalenko,1325,31.2,40.9,0.14,0.95,1.16,8.5
Emil Krafth,1634,30.5,41.8,0.05,1.1,2.14,7.8
Alex Král,1,0.0,2.0,0.0,0.0,0.0,2.0
Andrej Kramari?,2707,27.2,35.1,1.16,0.33,0.47,5.05
Christoph Kramer,748,44.6,56.3,0.12,2.29,3.98,12.9
Jean-Philippe Krasso,453,13.8,21.2,0.4,0.8,1.2,6.6
Julian Kristoffersen,7,10.0,20.0,0.0,0.0,0.0,10.0
Toni Kroos,2103,88.7,96.5,0.51,1.32,1.88,5.81
Florian Krüger,1129,17.0,24.8,0.4,0.4,0.48,5.44
Tim Krul,2610,25.2,36.4,0.0,0.0,0.0,5.03
Rade Kruni?,1416,30.4,36.9,0.13,1.4,2.04,7.71
Max Kruse,1128,29.3,39.8,0.72,0.64,0.72,5.12
Max Kruse,1270,24.8,34.1,0.57,0.21,0.43,4.89
Lukas Kübler,2327,35.0,48.0,0.23,1.24,2.74,8.84
Takefusa Kubo,1605,20.4,29.0,0.51,1.35,1.57,6.46
Juraj Kucka,1920,22.9,32.7,0.52,2.21,3.47,11.0
Mykola Kukharevych,15,20.0,30.0,0.0,0.0,0.0,5.0
Dejan Kulusevski,1261,27.8,33.1,0.64,1.14,1.43,6.43
Dejan Kulusevski,772,22.8,28.4,0.7,1.28,1.98,7.21
Marash Kumbulla,1025,47.9,55.4,0.26,1.67,2.28,9.65
Fabian Kunze,1260,26.4,35.4,0.07,1.64,2.64,12.7
Enock Kwateng,2002,44.5,53.8,0.14,1.4,2.25,7.52
Grejohn Kyei,396,15.9,21.1,0.68,0.23,0.45,2.05
Giorgos Kyriakopoulos,1975,48.4,58.6,0.46,1.0,1.6,7.21
Andrea La Mantia,488,13.0,18.1,0.56,0.19,0.37,2.96
Gaëtan Laborde,2729,14.3,21.7,1.06,0.5,0.73,4.13
Gaëtan Laborde,341,16.1,25.5,1.32,0.26,0.79,5.0
Alexandre Lacazette,1782,17.7,23.0,0.61,0.96,1.31,3.79
Tom Lacoux,907,31.9,40.7,0.0,1.88,3.07,8.51
Lenny Lacroix,200,25.0,34.5,0.0,2.73,4.09,5.91
Maxence Lacroix,2491,44.8,54.6,0.11,0.94,2.31,10.4
Alban Lafont,3420,17.9,29.3,0.0,0.0,0.0,4.5
Víctor Laguardia,3042,27.1,36.0,0.15,0.5,1.09,10.4
Konrad Laimer,1240,40.4,50.4,0.51,1.67,2.97,8.7
Stefan Lainer,1471,35.3,47.1,0.12,0.67,1.47,7.67
Diego Lainez,140,28.1,34.4,0.63,1.25,1.25,8.13
Adam Lallana,1561,47.9,54.7,0.23,1.27,2.2,10.8
Vassilis Lambropoulos,1168,26.9,32.3,0.08,1.38,1.92,6.69
Érik Lamela,1015,36.2,42.4,1.06,2.48,3.01,6.28
Didier Lamkel Zé,605,19.1,26.9,1.04,0.3,0.6,4.93
Sam Lammers,517,15.6,23.7,0.7,0.53,1.23,3.51
Sam Lammers,38,27.5,47.5,0.0,0.0,0.0,5.0
Tariq Lamptey,1561,35.1,45.5,0.23,1.33,2.2,6.99
Manuel Lanzini,1786,55.7,61.5,0.2,0.91,1.26,9.44
Aymeric Laporte,2828,86.1,90.9,0.22,0.54,0.99,9.17
Julien Laporte,2891,38.1,44.3,0.09,1.5,2.21,8.22
Yasser Larouci,341,33.9,42.1,0.26,0.79,1.58,6.58
Kevin Lasagna,1184,14.5,21.7,1.21,0.91,1.06,4.7
Jamaal Lascelles,2058,22.2,29.1,0.13,0.48,0.92,7.73
Bryan Lasme,877,12.6,20.3,0.72,0.41,0.62,4.54
Paul Lasne,847,37.9,45.1,0.11,1.06,2.45,8.09
Latasa,9,40.0,50.0,0.0,0.0,0.0,10.0
Toni Lato,590,35.5,47.0,0.0,0.91,1.82,11.7
Armand Lauriente,2477,20.5,26.3,1.35,1.05,1.42,5.64
Darko Lazovi?,2766,35.8,50.3,0.33,0.62,1.27,7.75
Manuel Lazzari,1665,47.8,55.8,0.32,0.76,1.68,6.81
Théo Le Bris,61,17.1,22.9,0.0,2.86,2.86,5.71
Jérémy Le Douaron,1446,12.7,19.6,0.99,0.5,0.62,5.4
Enzo Le Fée,2194,39.2,49.7,0.37,1.93,2.83,7.87
Vincent Le Goff,3060,42.6,54.1,0.12,1.18,2.03,7.32
Maxime Le Marchand,860,50.0,57.0,0.21,0.52,1.88,8.23
Robin Le Normand,3330,51.0,57.0,0.11,0.73,1.24,9.32
Patrick Leal,2,0.0,1.0,0.0,0.0,0.0,1.0
Rafael Leão,2605,20.0,27.9,1.31,0.62,0.8,4.88
Jean-Louis Leca,2313,21.6,28.5,0.0,0.0,0.0,5.1
Jeremías Ledesma,3420,15.9,30.4,0.03,0.0,0.0,5.26
Pierre Lees-Melou,2265,32.4,41.0,0.36,1.59,2.58,9.13
Wu Lei,474,13.6,19.1,0.94,0.75,0.75,6.42
Maxim Leitsch,1538,39.8,47.1,0.06,0.94,1.35,10.7
Lucas Leiva,1697,60.6,65.8,0.0,1.85,3.12,10.2
Florian Lejeune,2699,30.9,38.7,0.07,0.7,1.27,10.6
Iñigo Lekue,1925,41.4,56.4,0.05,1.17,1.92,10.1
Thomas Lemar,1440,39.8,50.6,0.5,1.0,1.63,7.31
Félix Lemaréchal,9,120.0,150.0,0.0,0.0,0.0,30.0
Mario Lemina,1967,48.1,54.5,0.18,2.01,3.24,8.9
Fabien Lemoine,1117,62.7,70.7,0.0,2.26,3.15,11.6
Tim Lemperle,149,23.5,35.9,1.76,2.35,2.94,8.82
Ruben Lendinez,137,27.3,34.0,0.0,3.33,4.0,4.0
Clément Lenglet,826,80.4,88.6,0.11,1.41,1.96,10.5
Aaron Lennon,1551,14.8,22.3,0.23,1.05,2.21,5.29
Bernd Leno,360,18.0,27.8,0.0,0.0,0.0,4.0
Christopher Lenz,664,50.8,70.0,0.0,1.62,3.78,10.9
Léo Leroy,626,37.6,46.0,0.29,2.14,4.14,9.57
Alexandre Letellier,8,30.0,30.0,0.0,0.0,0.0,0.0
Robert Lewandowski,2946,18.0,23.5,2.35,0.24,0.34,4.53
Jamie Leweling,1959,12.8,19.4,0.73,0.46,0.83,5.28
Jamal Lewis,262,27.9,35.5,0.0,2.07,3.79,7.93
Luca Lezzerini,495,28.2,35.8,0.0,0.0,0.0,5.82
Ben Lhassine Kone,81,33.3,40.0,0.0,2.22,3.33,10.0
Yanis Lhery,72,13.8,18.8,1.25,1.25,2.5,7.5
Dimitri Liénard,2044,46.4,63.3,0.13,1.63,3.0,9.38
Philipp Lienhart,2870,46.6,54.1,0.22,0.41,0.75,11.1
Matthijs de Ligt,2674,50.4,56.0,0.34,0.77,1.28,8.35
Isaac Lihadji,238,26.2,36.9,0.77,0.77,1.15,10.0
Anderson Lima,65,35.7,45.7,0.0,2.86,5.71,4.29
Andreas Linde,1080,27.0,41.8,0.0,0.0,0.0,6.0
Victor Lindelöf,2355,44.4,49.4,0.08,0.38,0.73,9.62
Jesper Lindstrøm,1976,19.2,27.6,0.82,0.95,1.41,5.77
Karol Linetty,896,22.7,28.4,0.2,0.8,1.3,7.2
Jesse Lingard,367,32.2,37.8,1.46,1.46,2.68,6.34
Pol Lirola,1770,46.3,57.2,0.1,0.86,1.32,5.99
Valentino Livramento,2202,36.0,47.1,0.12,1.22,2.2,8.9
Dejan Ljubicic,1969,23.6,33.3,0.32,0.96,1.23,7.95
Javier Llabrés,132,29.3,42.0,1.33,2.0,2.0,5.33
Diego Llorente,2340,42.6,51.7,0.12,1.35,2.15,10.6
Marcos Llorente,2447,39.0,48.6,0.07,1.21,1.91,7.94
Hugo Lloris,3420,19.6,24.8,0.0,0.0,0.0,4.11
Giovani Lo Celso,238,45.0,56.9,0.0,1.15,3.08,7.31
Giovani Lo Celso,994,39.8,49.0,0.55,1.27,1.64,7.45
Julen Lobete,284,14.1,18.4,0.63,0.94,1.25,5.0
Stanislav Lobotka,1686,71.9,77.2,0.05,1.6,2.14,8.77
Jürgen Locadia,444,19.8,25.1,1.43,1.02,1.02,4.29
Jürgen Locadia,23,6.67,10.0,0.0,3.33,3.33,3.33
Manuel Locatelli,2160,51.6,60.1,0.13,1.29,1.92,9.21
Banzouzi Locko,1011,32.3,41.3,0.18,1.61,2.41,8.3
Renan Lodi,1181,38.3,48.9,0.31,1.3,2.44,7.18
Ruben Loftus-Cheek,1394,56.6,62.5,0.39,1.29,2.0,10.1
Kevin Long,410,17.4,21.3,0.0,1.09,1.3,6.96
Shane Long,308,13.5,22.1,1.47,0.88,2.35,4.41
Sean Longstaff,1464,30.1,37.2,0.12,2.02,3.13,9.57
Ademola Lookman,1453,26.0,33.3,0.75,1.55,2.55,6.96
Anthony Lopes,2982,28.6,34.0,0.0,0.0,0.0,4.23
David López,743,43.6,50.8,0.48,2.05,3.01,10.7
Diego López,3177,23.7,32.4,0.0,0.0,0.0,5.35
Javi López,462,30.6,40.2,0.0,1.37,1.96,3.73
Maxime Lopez,2938,72.3,78.8,0.18,1.38,2.06,9.17
Pau López,2610,38.8,45.7,0.0,0.0,0.0,5.66
Unai López,1160,51.7,63.4,0.54,1.4,2.17,8.29
Dion Lopy,1642,29.7,34.5,0.11,2.09,3.19,7.36
Samuel Loric,269,29.3,42.7,0.0,1.0,2.33,7.67
Anthony Losilla,2935,30.6,38.9,0.28,1.72,2.64,14.0
Jonas Lössl,180,22.0,31.0,0.0,0.0,0.0,4.0
Marcel Lotka,885,21.5,34.9,0.0,0.0,0.0,5.92
Jordan Lotomba,1782,41.5,50.7,0.1,0.86,1.77,6.77
Johaneko Louisjean,12,50.0,60.0,0.0,0.0,0.0,10.0
Imran Louza,1416,34.1,45.6,0.25,2.04,3.25,12.2
Matteo Lovato,305,49.1,57.6,0.0,0.88,1.76,10.0
Matteo Lovato,1238,35.1,42.1,0.07,1.67,2.03,13.3
Eduard Löwen,1416,28.5,43.2,0.83,1.66,2.23,8.66
Matthew Lowton,1772,30.4,44.2,0.1,1.32,2.28,9.24
Anthony Lozano,1672,10.0,16.3,1.08,0.48,0.59,4.14
Hirving Lozano,1613,26.1,33.4,1.06,0.78,1.68,5.31
Jean Lucas,1445,40.7,51.4,0.56,2.24,3.23,9.25
Anderson Lucoqui,743,18.4,29.0,0.48,2.05,2.89,6.02
José Luis Gayà,1871,30.9,42.5,0.43,0.58,1.54,6.63
José Luis Morales,2719,17.2,25.8,1.06,0.53,0.83,6.06
José Luis Palomino,2672,45.9,55.5,0.1,2.22,3.33,14.3
Florentino Luís,992,32.0,39.8,0.09,2.45,3.82,11.3
Luismi,13,60.0,90.0,0.0,0.0,0.0,10.0
Douglas Luiz,2715,41.3,49.5,0.26,1.42,2.12,9.44
Romelu Lukaku,1589,13.2,18.1,0.73,0.17,0.28,2.77
Castello Lukeba,2095,64.8,71.0,0.13,0.86,1.59,10.1
Dodi Lukebakio,176,13.5,18.0,0.5,2.0,2.0,2.5
Dodi Lukebakio,882,23.4,30.3,0.71,0.41,1.12,6.12
Saa Luki?,2982,46.8,53.5,0.21,1.09,1.72,10.4
Levi Lumeka,67,14.3,24.3,0.0,0.0,0.0,1.43
Andriy Lunin,180,36.0,41.0,0.0,0.0,0.0,3.0
Andrey Lunyov,90,43.0,49.0,0.0,0.0,0.0,7.0
Sebastiano Luperto,1958,37.9,44.5,0.14,0.87,1.38,7.29
Andreas Luthe,2430,24.1,37.0,0.0,0.0,0.0,5.85
Lyanco,911,27.4,36.5,0.0,1.39,1.68,8.51
Charalambos Lykogiannis,1817,23.5,37.5,0.35,0.74,1.29,5.59
Yannis M'Bemba,5,40.0,50.0,10.0,0.0,0.0,20.0
Alexis Mac Allister,2123,37.2,45.8,0.38,2.16,3.09,10.4
Deiver Machado,523,37.2,44.3,0.0,1.55,2.76,7.59
Darwin Machís,1376,19.1,28.6,1.11,1.05,1.83,7.12
Yvann Macon,1529,44.2,58.5,0.24,1.76,2.65,7.35
James Maddison,2459,28.5,39.4,1.21,0.88,1.65,4.91
Niki Mäenpää,1485,21.1,31.6,0.0,0.0,0.0,4.48
Pablo Maffeo,2945,27.6,40.3,0.21,1.68,2.6,7.03
Louis Mafouta,525,19.3,24.3,1.21,0.17,0.34,3.45
Giulio Maggiore,2819,27.5,36.4,0.26,1.34,2.01,9.14
Matej Maglica,6,0.0,10.0,0.0,0.0,0.0,0.0
Francesco Magnanelli,271,75.3,84.3,0.0,1.33,2.0,14.7
Giangiacomo Magnani,239,47.8,55.9,0.0,0.74,2.22,5.19
Giangiacomo Magnani,530,30.0,37.8,0.17,2.03,2.71,7.8
Hugo Magnetti,1463,35.8,42.0,0.12,2.45,3.68,10.6
Yohann Magnin,1717,39.4,48.1,0.16,1.94,3.3,8.64
Harry Maguire,2515,47.3,54.2,0.36,0.93,1.47,10.2
Riyad Mahrez,1498,46.2,56.0,1.08,0.36,0.6,6.57
Arne Maier,1864,29.5,40.7,0.39,0.77,1.26,8.89
Habib Maïga,1267,33.3,41.8,0.35,2.27,3.83,9.08
Mike Maignan,2880,28.4,35.9,0.0,0.0,0.0,4.69
Ainsley Maitland-Niles,487,45.4,59.3,0.37,0.56,0.93,7.59
Ainsley Maitland-Niles,268,35.0,45.3,0.0,1.33,2.33,12.3
Josh Maja,9,50.0,60.0,0.0,0.0,0.0,0.0
Abdul Majeed Waris,327,27.2,36.4,0.83,0.83,1.11,6.39
Lovro Majer,1832,40.2,52.4,0.88,1.81,2.5,7.75
Jean-Victor Makengo,2351,27.2,32.6,0.38,0.92,1.15,7.82
Béni Makouana,322,15.8,21.9,0.0,1.11,1.11,4.44
Nemanja Maksimovi?,2936,21.1,27.0,0.15,1.23,1.96,8.28
Nikola Maksimovi?,1115,35.2,42.0,0.0,1.05,1.37,11.5
Kévin Malcuit,288,36.9,51.9,0.0,0.31,0.94,8.44
Daniel Maldini,148,20.6,31.3,0.63,2.5,3.13,5.63
Youssef Maleh,1019,30.5,37.7,0.44,1.68,2.57,7.08
Donyell Malen,1684,21.4,28.9,1.12,0.64,0.86,4.6
Ruslan Malinovskyi,1592,38.3,51.9,0.96,0.85,1.53,7.57
Hugo Mallo,1826,46.9,61.1,0.1,1.38,2.51,8.67
Lennard Maloney,9,130.0,160.0,0.0,10.0,10.0,10.0
Mickael Malsa,1143,33.9,42.0,0.16,2.2,3.23,10.4
Giorgi Mamardashvili,1620,16.0,27.5,0.0,0.0,0.0,4.33
Rey Manaj,1768,17.3,22.9,0.71,0.51,0.97,4.39
Hianga Mananga Mbock,799,28.5,32.5,0.0,1.57,2.58,7.87
Vincent Manceau,2361,54.5,61.3,0.0,0.65,1.3,8.78
Gianluca Mancini,2878,47.9,55.9,0.19,1.34,1.84,6.13
Leonardo Mancuso,425,11.3,16.8,1.06,0.0,0.21,2.98
Steve Mandanda,810,35.4,44.0,0.0,0.0,0.0,4.33
Reinildo Mandava,1524,47.6,56.9,0.18,1.95,2.9,7.16
Reinildo Mandava,1298,37.7,46.4,0.0,1.53,2.64,8.54
Aïssa Mandi,1375,59.9,64.3,0.2,0.39,0.65,7.06
Rolando Mandragora,1319,43.8,52.0,0.34,0.48,1.29,9.73
Anthony Mandrea,900,15.9,27.5,0.0,0.0,0.0,4.4
Sadio Mané,2819,26.2,34.9,1.18,0.58,1.05,5.62
Eliaquim Mangala,1179,38.2,43.7,0.08,0.53,1.15,7.56
Orel Mangala,1853,32.1,38.6,0.39,0.68,0.92,7.72
Thomas Mangani,2193,48.6,60.9,0.12,1.76,2.83,9.92
Ricardo Mangas,2353,32.3,41.1,0.19,0.8,1.53,6.7
Kostas Manolas,313,62.3,66.0,0.0,0.57,0.57,6.29
Javier Manquillo,1257,21.3,29.0,0.14,1.71,2.93,7.14
Myziane Maolida,34,10.0,17.5,0.0,2.5,2.5,7.5
Myziane Maolida,776,18.8,26.6,0.35,0.58,0.7,6.74
Sekou Mara,905,13.8,20.4,1.58,0.79,0.99,5.64
Maranhão,973,11.2,17.9,0.74,0.65,1.39,5.0
Nikola Mara,1044,32.8,38.5,0.0,0.95,1.03,8.53
Fernando Marçal,1449,42.0,54.0,0.06,1.61,2.61,8.51
Marcelo,442,78.6,95.5,0.61,0.82,1.63,7.55
Marcelo,898,56.1,65.9,0.0,0.2,0.7,11.8
Marcelo,180,74.5,82.5,0.0,1.5,2.0,13.5
Solly March,1746,28.5,39.5,0.52,1.13,1.96,6.65
Riccardo Marchizza,1346,30.9,43.3,0.07,0.73,1.33,6.8
Gian Marco Ferrari,3124,58.1,64.1,0.26,0.32,0.63,9.48
Iván Marcone,809,41.0,48.3,0.0,1.67,2.78,11.0
Óscar de Marcos,1679,47.0,60.6,0.16,1.76,2.78,9.09
Davide Marfella,11,10.0,10.0,0.0,0.0,0.0,0.0
José Mari,386,36.3,44.7,0.23,1.16,2.09,11.6
Pablo Marí,1341,28.8,40.5,0.34,0.54,1.21,9.66
Pablo Marí,180,39.0,43.0,0.0,1.0,3.0,8.5
José María Giménez,2042,36.1,40.4,0.22,0.7,0.88,8.15
Mariano,342,11.6,15.3,0.79,0.53,0.53,1.58
R?zvan Marin,2816,31.6,40.6,0.22,0.99,1.47,7.73
Guillermo Maripán,1832,58.9,65.3,0.1,1.47,1.96,9.12
Mika Màrmol,1,4.0,5.0,0.0,0.0,0.0,2.0
Omar Marmoush,1571,19.0,26.0,0.74,1.03,1.66,5.37
Omar Marmoush,24,20.0,30.0,0.0,3.33,6.67,10.0
Marquinhos,2861,70.2,75.1,0.22,0.6,1.1,7.36
Roger Martí,2115,13.4,19.5,0.68,0.6,0.89,2.77
Anthony Martial,490,23.7,29.1,0.56,0.74,0.74,2.59
Anthony Martial,212,27.5,35.4,0.83,0.42,0.42,2.08
Martín,115,28.5,37.7,0.0,0.77,0.77,18.5
Aarón Martín,2292,30.9,43.8,0.16,1.25,2.27,6.82
Ander Martin,88,36.0,46.0,2.0,1.0,1.0,6.0
Andrés Martín,186,11.0,17.1,0.48,0.0,0.48,1.43
Carlos Martín,6,10.0,20.0,0.0,0.0,0.0,0.0
Iván Martín,166,30.0,37.2,0.0,0.56,1.67,7.22
Jonas Martin,2105,65.3,71.9,0.17,0.9,1.58,10.2
Martinelli,1860,21.9,29.6,0.72,0.92,1.45,5.6
Lucas Martínez Quarta,1431,64.2,70.4,0.25,1.57,2.45,10.1
Emiliano Martínez,3240,21.7,30.0,0.0,0.0,0.0,4.56
Iñigo Martínez,2341,37.2,46.3,0.35,0.69,1.27,11.4
Javi Martínez,879,29.2,40.7,0.2,1.43,2.45,8.88
Josep Martinez,90,19.0,22.0,0.0,0.0,0.0,5.0
Lautaro Martínez,2282,15.7,20.9,1.85,0.71,0.98,4.57
Pablo Martínez,656,24.8,35.6,0.14,1.1,1.78,7.95
Gelson Martins,1905,24.7,32.3,0.52,1.23,2.22,7.31
Adam Marui?,2721,54.2,62.3,0.1,0.53,0.99,8.11
Omar Mascarell,2493,37.7,43.5,0.04,0.79,1.55,9.03
Andrea Masiello,515,47.2,54.2,0.0,1.4,1.4,11.6
Adam Masina,1077,31.7,45.0,0.0,1.17,2.0,7.75
Erhan Maovi?,1552,29.4,37.7,0.0,1.28,2.38,9.65
Roberto Massimo,877,23.2,30.9,1.13,1.13,1.24,5.67
Arthur Masuaku,650,40.7,52.1,0.14,2.64,4.58,10.3
Jaime Mata,672,18.0,27.1,0.4,0.53,1.33,3.6
Juan Mata,235,70.0,81.2,0.38,2.31,2.69,11.2
Pape Matar Sarr,2129,35.7,43.0,0.34,1.52,2.41,9.62
Eliot Matazo,790,39.1,44.1,0.11,1.25,1.48,8.52
Ale Mat?j?,727,26.7,36.3,0.25,1.11,2.1,6.67
Jean-Philippe Mateta,1145,13.3,19.1,1.42,0.39,0.55,3.62
Nemanja Mati?,1382,57.2,65.6,0.06,1.82,2.21,10.7
Joël Matip,2790,65.0,72.2,0.23,1.16,1.55,12.1
Chrislain Matsima,134,48.7,56.0,0.0,2.0,2.67,12.0
Azor Matusiwa,2463,36.4,43.1,0.18,1.72,2.59,10.7
Neal Maupay,2276,18.9,24.4,0.55,0.47,0.75,4.62
Stephy Mavididi,2299,17.8,22.6,0.9,0.51,0.98,4.35
Konstantinos Mavropanos,2705,49.2,60.8,0.37,1.3,2.36,10.1
Eric Maxim Choupo-Moting,377,24.0,32.9,1.9,2.14,3.1,6.9
Luís Maximiano,3046,19.1,34.7,0.0,0.0,0.06,5.8
Borja Mayoral,96,26.4,35.5,0.0,0.0,0.0,5.45
Borja Mayoral,1044,16.7,21.7,0.52,0.43,0.69,4.91
Derek Mazou-Sacko,3,0.0,1.0,0.0,0.0,1.0,0.0
Pasquale Mazzocchi,1269,28.8,40.1,0.14,1.06,1.49,6.88
Pasquale Mazzocchi,1243,32.2,42.0,0.0,0.87,1.23,6.3
Kevin Mbabu,1391,39.6,56.3,0.0,1.1,2.39,10.2
Kylian Mbappé,3023,34.6,43.2,1.79,0.33,0.42,3.57
Ibrahima Mbaye,108,29.2,40.8,0.0,0.0,0.83,5.0
Amadou Mbengue,610,36.0,42.6,0.0,2.21,3.53,6.62
Bryan Mbeumo,2905,16.8,25.2,0.59,0.77,1.18,5.54
Jason Mbock,17,15.0,25.0,0.0,0.0,0.0,5.0
Jordi Mboula,434,10.8,18.8,0.0,0.63,1.04,5.42
Moustapha Mbow,90,22.0,27.0,0.0,4.0,6.0,4.0
Nathanael Mbuku,1418,17.0,23.5,0.82,0.82,1.39,5.32
James McArthur,1439,48.3,57.9,0.19,1.63,2.31,12.6
James Mcatee,20,45.0,65.0,0.0,0.0,0.0,15.0
Kasey McAteer,3,1.0,1.0,0.0,0.0,0.0,0.0
Liam McCarron,10,20.0,20.0,0.0,0.0,0.0,10.0
Alex McCarthy,1530,18.5,30.0,0.0,0.0,0.0,3.59
John McGinn,3090,29.3,39.0,0.44,1.78,3.03,8.4
Weston McKennie,1369,29.1,38.0,0.33,1.12,1.91,6.51
Stuart McKinstry,4,3.0,4.0,0.0,0.0,0.0,2.0
Kenny McLean,2706,26.0,35.2,0.2,0.8,1.36,7.61
Dwight McNeil,3107,23.1,33.3,0.43,1.04,1.97,7.88
Scott McTominay,2387,40.0,47.0,0.26,1.25,2.6,10.8
