name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries
Asier Illarramendi,374,,,67.1,59.8,,0.0,2.38,1.9,,9.52
Stefan Ilsanker,266,,,38.7,32.0,,0.0,4.67,2.67,,15.7
Ciro Immobile,2711,,,29.4,23.1,,1.66,0.4,0.3,,3.55
Burak Ýnce,139,,,20.0,18.0,,1.33,0.67,0.0,,4.67
Danny Ings,1898,,,18.0,12.2,,0.81,1.23,0.52,,4.22
Marcus Ingvartsen,122,,,23.6,17.9,,0.71,0.71,0.0,,2.86
Marcus Ingvartsen,680,,,28.9,19.5,,1.45,0.79,0.53,,6.45
Bonke Innocent,874,,,39.2,34.7,,0.1,2.78,1.96,,9.38
Lorenzo Insigne,2290,,,59.3,47.2,,0.94,0.98,0.83,,5.75
Nikita Iosifov,1,,,3.0,1.0,,0.0,0.0,0.0,,0.0
Tim Iroegbunam,92,,,25.0,21.0,,0.0,5.0,2.0,,10.0
Alexander Isak,2140,,,19.1,13.9,,1.34,0.59,0.38,,3.19
Isco,267,,,89.7,79.3,,1.0,3.33,2.0,,8.67
Wilson Isidor,50,,,30.0,13.3,,0.0,0.0,0.0,,1.67
Ardian Ismajli,1272,,,50.2,43.0,,0.07,1.21,0.57,,9.93
Hiroki Ito,2348,,,70.0,57.2,,0.08,1.72,0.92,,10.7
Cedric Itten,635,,,21.3,12.7,,1.27,1.69,0.85,,4.79
Gian-Luca Itter,1455,,,50.1,36.9,,0.06,3.09,1.36,,7.47
Alex Iwobi,2035,,,34.7,26.8,,0.27,2.04,1.24,,6.55
Armando Izzo,526,,,50.7,40.5,,0.52,2.76,1.9,,8.97
Nicolas Jackson,165,,,30.0,22.8,,0.56,1.11,0.56,,3.89
Lee Jae-sung,1436,,,40.9,30.3,,0.63,2.5,1.31,,9.94
Paul Jaeckel,2047,,,49.6,40.1,,0.0,2.64,1.54,,10.7
Mato Jajalo,629,,,46.3,36.4,,0.0,2.71,2.14,,12.7
Kristijan Jaki?,1879,,,40.4,30.4,,0.33,2.25,1.39,,12.8
Ismail Jakobs,1203,,,68.2,48.5,,0.07,2.84,1.64,,9.78
Marin Jakoli,229,,,30.0,21.6,,1.2,1.6,1.6,,3.2
Abdel Jalil Medioub,622,,,41.2,33.6,,0.0,2.17,1.16,,8.12
Daniel James,126,,,22.9,15.7,,0.71,2.86,2.86,,8.57
Daniel James,2366,,,19.3,12.5,,0.57,1.33,0.65,,4.68
Reece James,1864,,,80.5,69.7,,0.48,1.88,1.11,,8.07
Vitaly Janelt,2298,,,39.1,30.1,,0.43,2.43,1.37,,9.37
Jakub Jankto,587,,,36.3,24.3,,0.0,1.54,1.08,,7.69
Pontus Jansson,3321,,,39.3,32.2,,0.27,0.98,0.68,,10.1
Tony Jantschke,225,,,47.2,34.0,,0.0,3.2,1.2,,6.4
Adnan Januzaj,1625,,,40.7,26.4,,0.72,0.99,0.55,,4.97
Pawe? Jaroszy?ski,516,,,41.6,27.0,,0.18,1.75,1.05,,9.3
Jason,678,,,29.5,15.9,,0.27,1.73,1.07,,6.67
Jason,75,,,38.8,30.0,,0.0,2.5,1.25,,10.0
Dennis Jastrzembski,225,,,42.8,27.6,,0.0,0.8,0.8,,8.4
Luis Javier Suárez,2782,,,21.9,14.5,,0.87,0.84,0.58,,4.14
Corentin Jean,255,,,43.2,32.5,,0.71,3.21,2.5,,7.5
Jemerson,1202,,,35.4,30.5,,0.15,3.28,1.72,,6.27
Fredrik Jensen,418,,,24.6,13.5,,0.22,1.3,0.22,,6.96
Mathias Jensen,1601,,,43.3,31.3,,0.34,1.91,1.57,,8.26
Moritz Jenz,1381,,,44.7,38.3,,0.07,2.16,1.11,,6.8
Gabriel Jesus,1877,,,36.3,30.5,,1.0,1.15,0.57,,6.12
Juan Jesus,1278,,,59.3,53.0,,0.07,2.04,1.41,,8.94
Álvaro Jiménez,234,,,27.7,15.4,,0.38,3.08,1.15,,6.92
Raúl Jiménez,2631,,,26.7,19.1,,0.51,1.13,0.79,,4.14
Joaquín,471,,,51.7,40.4,,0.77,0.96,0.77,,7.88
Joelinton,2558,,,33.1,26.2,,0.49,2.54,1.55,,8.49
Jofre,20,,,40.0,30.0,,0.0,5.0,5.0,,0.0
Marco John,42,,,32.0,30.0,,0.0,0.0,0.0,,2.0
Dennis Johnsen,1445,,,20.1,12.1,,0.31,0.87,0.68,,4.91
Ben Johnson,1397,,,48.9,34.1,,0.06,1.94,1.03,,7.42
Curtis Jones,851,,,62.2,56.2,,0.74,1.26,0.95,,8.0
Phil Jones,163,,,43.9,39.4,,0.0,3.33,2.22,,6.67
Frenkie de Jong,2476,,,61.1,54.9,,0.25,1.27,0.95,,8.11
Luuk de Jong,654,,,26.0,19.3,,1.23,1.37,1.37,,4.25
Joan Jordán,2514,,,66.0,58.0,,0.04,2.26,1.68,,9.21
Kaio Jorge,121,,,29.2,22.3,,0.77,2.31,0.77,,4.62
Jorginho,2273,,,73.4,65.8,,0.08,2.69,1.82,,10.6
Josan,1211,,,39.9,28.1,,0.3,2.22,1.33,,7.48
Willian José,1604,,,29.9,23.2,,0.45,0.9,0.73,,3.93
Joselu,3122,,,32.3,19.8,,0.95,0.49,0.23,,4.7
Josema,183,,,30.5,18.0,,0.0,1.5,1.0,,7.0
Lenny Joseph,153,,,15.3,10.0,,0.0,1.76,1.18,,2.94
Diogo Jota,2364,,,29.3,21.6,,1.25,1.37,0.8,,5.36
Stevan Joveti?,1017,,,33.4,23.4,,1.42,0.44,0.27,,5.04
Luka Jovi?,369,,,16.8,13.2,,0.98,0.73,0.49,,4.15
Miguel Juan Llambrich,70,,,61.3,45.0,,0.0,3.75,2.5,,8.75
José Juan Macías,201,,,20.5,13.6,,0.0,0.0,0.0,,5.0
Juanmi,2131,,,21.9,17.6,,1.27,1.98,1.22,,5.32
Gideon Jung,142,,,35.6,28.1,,0.0,0.63,0.63,,8.75
Flavio Junior Bianchi,314,,,22.3,18.6,,0.86,1.14,0.86,,5.43
Hamed Junior Traorè,1775,,,41.7,32.7,,1.12,1.78,0.86,,7.36
Lago Junior,177,,,24.0,13.5,,0.5,1.5,1.5,,4.5
Vinicius Júnior,2690,,,43.4,36.5,,1.4,1.57,1.17,,4.35
James Justin,998,,,58.8,47.2,,0.09,2.79,1.89,,8.74
Jutglà,301,,,36.7,29.7,,1.21,0.91,0.61,,3.03
Jens Jønsson,1303,,,23.2,18.4,,0.0,3.1,2.48,,8.55
Mathias Jørgensen,518,,,57.2,42.6,,0.17,1.9,0.34,,11.4
Ozan Kabak,922,,,40.6,33.4,,0.2,1.27,1.08,,7.84
Christian Kabasele,1193,,,34.3,27.1,,0.0,0.75,0.45,,8.72
Issa Kaboré,2254,,,40.3,29.5,,0.08,2.12,1.2,,6.16
Anton Kade,77,,,34.4,23.3,,1.11,5.56,3.33,,8.89
Pavel Kade?ábek,1195,,,51.2,38.1,,0.15,1.2,0.68,,6.09
Tino Kadewere,506,,,29.8,24.3,,1.25,1.96,1.25,,4.64
Florian Kainz,2320,,,41.2,24.9,,0.54,1.4,0.7,,7.44
Gaël Kakuta,1673,,,39.0,28.3,,0.75,1.77,1.13,,5.65
Sasa Kalajdzic,1221,,,28.1,19.6,,0.96,0.51,0.29,,4.04
Arnaud Kalimuendo,8,,,50.0,50.0,,0.0,0.0,0.0,,10.0
Arnaud Kalimuendo,2148,,,20.5,16.9,,1.21,0.42,0.33,,2.85
Nikola Kalini?,406,,,22.7,18.9,,0.89,0.44,0.22,,2.22
Yayah Kallon,636,,,25.5,16.8,,0.14,1.83,1.13,,8.31
Felix Kalu Nmecha,323,,,38.9,28.6,,1.39,0.56,0.56,,5.28
Samuel Kalu,222,,,26.0,21.6,,0.4,0.8,0.8,,2.0
Samuel Kalu,328,,,32.8,25.0,,2.22,3.06,2.5,,4.17
Pierre Kalulu,1944,,,53.5,47.0,,0.09,2.96,1.57,,8.75
Daichi Kamada,2139,,,36.3,28.6,,0.29,1.51,1.09,,7.27
Boubacar Kamara,2778,,,78.5,71.3,,0.1,2.62,1.78,,8.93
Hassane Kamara,544,,,49.5,40.0,,0.17,2.83,1.5,,6.67
Hassane Kamara,1623,,,50.3,35.3,,0.06,3.39,1.61,,10.2
Dimitrije Kamenovi?,45,,,42.0,32.0,,0.0,2.0,0.0,,16.0
Kevin Kampl,1899,,,70.6,64.3,,0.09,1.99,1.33,,8.91
Jean-Armel Kana-Biyik,664,,,42.3,37.4,,0.0,1.89,1.76,,7.84
Nordine Kandil,90,,,67.0,49.0,,0.0,1.0,0.0,,11.0
Harry Kane,3232,,,26.5,18.4,,1.42,0.53,0.28,,4.18
Lee Kangin,1411,,,37.5,27.0,,0.83,0.76,0.45,,5.86
N'Golo Kanté,1773,,,65.1,56.7,,0.46,2.89,1.73,,8.93
Stefanos Kapino,90,,,31.0,20.0,,0.0,0.0,0.0,,7.0
Atakan Karazor,1898,,,49.1,41.2,,0.09,2.27,1.33,,12.5
Rick Karsdorp,2883,,,57.2,46.9,,0.03,1.91,1.13,,6.69
Denso Kasius,180,,,60.5,51.5,,0.5,5.0,3.0,,9.0
Grigoris Kastanos,1348,,,39.8,28.8,,0.53,2.13,1.6,,8.47
Silas Katompa,277,,,20.3,12.9,,0.0,1.29,0.65,,8.06
Noah Katterbach,16,,,60.0,30.0,,0.0,5.0,0.0,,15.0
Eiji Kawashima,90,,,31.0,28.0,,0.0,0.0,0.0,,5.0
Edo Kayembe,799,,,48.1,41.0,,0.0,2.36,1.69,,11.7
Moise Kean,1,,,1.0,1.0,,0.0,0.0,0.0,,0.0
Moise Kean,1098,,,19.5,14.7,,0.82,0.82,0.49,,4.34
Michael Keane,2792,,,37.2,28.9,,0.19,1.58,1.13,,10.4
Ilan Kebbal,1772,,,42.6,31.6,,0.3,1.68,1.07,,7.01
Wajdi Kechrida,952,,,32.4,23.5,,0.09,1.51,1.13,,6.23
Thilo Kehrer,1513,,,72.3,68.7,,0.24,1.67,1.13,,6.07
Habib Keita,7,,,60.0,60.0,,20.0,0.0,0.0,,0.0
Naby Keïta,1173,,,58.4,50.1,,0.54,3.62,2.15,,9.85
Yannik Keitel,504,,,33.2,23.0,,0.36,2.68,1.61,,11.8
Caoimhín Kelleher,180,,,45.0,40.5,,0.0,0.0,0.0,,5.5
Marc-Oliver Kempf,1051,,,37.3,27.0,,0.09,1.54,1.28,,9.66
Marc-Oliver Kempf,840,,,62.2,51.4,,0.65,2.47,1.51,,13.1
Kenedy,58,,,81.7,63.3,,0.0,5.0,3.33,,8.33
Jonjoe Kenny,1018,,,41.9,31.2,,0.0,1.68,1.06,,8.23
Dimitrios Keramitsis,1,,,0.0,0.0,,0.0,0.0,0.0,,0.0
Franck Kessié,2308,,,51.9,45.4,,0.31,2.03,1.33,,9.61
Saîf-Eddine Khaoui,927,,,38.4,28.3,,0.68,2.23,1.75,,5.73
Wahbi Khazri,2225,,,25.2,17.4,,0.73,1.26,0.81,,5.51
Rani Khedira,2757,,,30.9,22.8,,0.07,2.61,1.67,,9.8
Kike,1862,,,25.0,17.0,,0.92,0.82,0.58,,4.59
Luca Kilian,1,,,1.0,0.0,,0.0,0.0,0.0,,1.0
Luca Kilian,2281,,,53.4,45.7,,0.08,1.86,0.95,,9.01
Max Kilman,2687,,,49.4,42.8,,0.13,1.77,1.1,,7.96
Joshua Kimmich,2474,,,94.0,80.0,,0.29,1.56,1.2,,12.3
Presnel Kimpembe,2576,,,78.4,75.9,,0.03,1.36,0.73,,7.1
Joshua King,2248,,,21.0,15.5,,0.72,1.24,0.84,,4.2
Jakub Kiwior,1964,,,31.9,25.2,,0.18,2.43,1.15,,8.94
Sofian Kiyine,1239,,,38.6,28.7,,0.36,2.17,1.38,,7.75
Simon Kjær,802,,,51.0,45.1,,0.11,2.58,1.57,,6.29
Kristoffer Klaesson,36,,,27.5,22.5,,0.0,0.0,0.0,,5.0
Philipp Klement,338,,,71.6,56.3,,0.53,1.84,1.84,,10.3
Mateusz Klich,2073,,,43.7,34.2,,0.78,2.13,1.13,,9.83
Thibault Klidje,86,,,39.0,29.0,,0.0,1.0,1.0,,9.0
Mateo Klimowicz,603,,,29.3,21.8,,0.45,1.79,0.9,,4.93
Fabian Klos,1420,,,28.0,15.0,,0.89,0.38,0.06,,4.49
Lukas Klostermann,1648,,,58.5,51.0,,0.05,1.91,0.77,,10.0
Justin Kluivert,1868,,,33.6,21.6,,0.48,1.15,0.58,,4.9
Lukas Klünter,194,,,45.5,30.5,,0.0,0.91,0.91,,10.0
Ansgar Knauff,759,,,41.3,26.3,,0.48,2.26,1.07,,8.33
Ansgar Knauff,114,,,28.5,17.7,,0.0,3.85,1.54,,6.15
Robin Knoche,2970,,,51.0,41.3,,0.12,1.36,0.79,,12.5
Gregor Kobel,2565,,,35.8,29.2,,0.0,0.0,0.0,,5.4
Robin Koch,1574,,,38.9,30.3,,0.06,1.77,1.14,,9.6
Samuel Koeberlé,1,,,1.0,1.0,,0.0,0.0,0.0,,0.0
Philippe Koffi,375,,,19.0,12.1,,0.48,1.19,0.48,,4.05
Dominik Kohr,1614,,,47.6,36.1,,0.11,2.4,1.51,,12.8
Koba Koindredi,181,,,25.0,19.0,,0.0,1.5,0.5,,9.0
Koke,2508,,,63.1,54.1,,0.22,1.79,1.11,,8.28
Aleksandr Kokorin,55,,,43.3,28.3,,0.0,1.67,0.0,,1.67
Aleksandar Kolarov,42,,,74.0,60.0,,0.0,2.0,2.0,,6.0
Sead Kolainac,440,,,50.2,39.2,,0.0,1.22,1.02,,8.57
Sead Kolainac,91,,,13.0,10.0,,0.0,1.0,1.0,,2.0
Luca Koleosho,1,,,1.0,1.0,,0.0,0.0,0.0,,0.0
Randal Kolo Muani,2948,,,18.3,12.3,,0.79,0.85,0.58,,4.48
Timothée Kolodziejczak,2565,,,55.9,44.1,,0.21,1.61,1.02,,9.61
Ghislain Konan,2418,,,48.6,36.8,,0.19,1.34,0.71,,8.25
Ibrahima Konaté,990,,,66.2,59.5,,0.0,1.27,0.73,,11.6
Geoffrey Kondogbia,1882,,,48.2,42.1,,0.05,3.59,2.25,,12.2
Ibrahima Koné,732,,,17.5,12.5,,0.99,1.36,0.74,,3.21
Kouadio Koné,2183,,,49.0,43.1,,0.41,2.8,1.85,,10.0
Youssouf Koné,980,,,40.1,30.7,,0.28,3.21,1.56,,7.71
Ezri Konsa,2477,,,35.3,30.9,,0.22,0.95,0.51,,6.65
Teun Koopmeiners,2126,,,62.8,50.2,,0.38,1.69,1.02,,9.66
Laurent Koscielny,933,,,52.3,47.7,,0.0,1.35,0.77,,7.88
Odilon Kossonou,1793,,,58.3,49.1,,0.05,1.66,1.11,,8.54
Filip Kosti?,2522,,,57.8,37.1,,0.64,1.54,1.04,,8.11
Rominigue Kouamé,2968,,,48.0,42.2,,0.33,1.55,0.97,,9.21
Nianzou Kouassi,582,,,81.1,74.9,,0.15,1.69,0.92,,9.69
Kalidou Koulibaly,2405,,,61.0,53.4,,0.26,2.25,1.61,,8.31
Jules Koundé,2736,,,69.9,62.6,,0.1,1.25,0.72,,10.8
Christos Kourfalidis,18,,,60.0,40.0,,5.0,0.0,0.0,,30.0
Boubakar Kouyaté,2665,,,37.7,31.6,,0.17,3.31,1.62,,8.65
Cheikhou Kouyaté,1974,,,36.0,30.0,,0.0,2.74,1.55,,11.8
Mateo Kova?i?,1558,,,69.0,61.6,,0.35,3.01,2.31,,9.36
Viktor Kovalenko,1325,,,40.9,31.2,,0.14,1.16,0.95,,8.5
Emil Krafth,1634,,,41.8,30.5,,0.05,2.14,1.1,,7.8
Alex Král,1,,,2.0,0.0,,0.0,0.0,0.0,,2.0
Andrej Kramari?,2707,,,35.1,27.2,,1.16,0.47,0.33,,5.05
Christoph Kramer,748,,,56.3,44.6,,0.12,3.98,2.29,,12.9
Jean-Philippe Krasso,453,,,21.2,13.8,,0.4,1.2,0.8,,6.6
Julian Kristoffersen,7,,,20.0,10.0,,0.0,0.0,0.0,,10.0
Toni Kroos,2103,,,96.5,88.7,,0.51,1.88,1.32,,5.81
Florian Krüger,1129,,,24.8,17.0,,0.4,0.48,0.4,,5.44
Tim Krul,2610,,,36.4,25.2,,0.0,0.0,0.0,,5.03
Rade Kruni?,1416,,,36.9,30.4,,0.13,2.04,1.4,,7.71
Max Kruse,1128,,,39.8,29.3,,0.72,0.72,0.64,,5.12
Max Kruse,1270,,,34.1,24.8,,0.57,0.43,0.21,,4.89
Lukas Kübler,2327,,,48.0,35.0,,0.23,2.74,1.24,,8.84
Takefusa Kubo,1605,,,29.0,20.4,,0.51,1.57,1.35,,6.46
Juraj Kucka,1920,,,32.7,22.9,,0.52,3.47,2.21,,11.0
Mykola Kukharevych,15,,,30.0,20.0,,0.0,0.0,0.0,,5.0
Dejan Kulusevski,1261,,,33.1,27.8,,0.64,1.43,1.14,,6.43
Dejan Kulusevski,772,,,28.4,22.8,,0.7,1.98,1.28,,7.21
Marash Kumbulla,1025,,,55.4,47.9,,0.26,2.28,1.67,,9.65
Fabian Kunze,1260,,,35.4,26.4,,0.07,2.64,1.64,,12.7
Enock Kwateng,2002,,,53.8,44.5,,0.14,2.25,1.4,,7.52
Grejohn Kyei,396,,,21.1,15.9,,0.68,0.45,0.23,,2.05
Giorgos Kyriakopoulos,1975,,,58.6,48.4,,0.46,1.6,1.0,,7.21
Andrea La Mantia,488,,,18.1,13.0,,0.56,0.37,0.19,,2.96
Gaëtan Laborde,2729,,,21.7,14.3,,1.06,0.73,0.5,,4.13
Gaëtan Laborde,341,,,25.5,16.1,,1.32,0.79,0.26,,5.0
Alexandre Lacazette,1782,,,23.0,17.7,,0.61,1.31,0.96,,3.79
Tom Lacoux,907,,,40.7,31.9,,0.0,3.07,1.88,,8.51
Lenny Lacroix,200,,,34.5,25.0,,0.0,4.09,2.73,,5.91
Maxence Lacroix,2491,,,54.6,44.8,,0.11,2.31,0.94,,10.4
Alban Lafont,3420,,,29.3,17.9,,0.0,0.0,0.0,,4.5
Víctor Laguardia,3042,,,36.0,27.1,,0.15,1.09,0.5,,10.4
Konrad Laimer,1240,,,50.4,40.4,,0.51,2.97,1.67,,8.7
Stefan Lainer,1471,,,47.1,35.3,,0.12,1.47,0.67,,7.67
Diego Lainez,140,,,34.4,28.1,,0.63,1.25,1.25,,8.13
Adam Lallana,1561,,,54.7,47.9,,0.23,2.2,1.27,,10.8
Vassilis Lambropoulos,1168,,,32.3,26.9,,0.08,1.92,1.38,,6.69
Érik Lamela,1015,,,42.4,36.2,,1.06,3.01,2.48,,6.28
Didier Lamkel Zé,605,,,26.9,19.1,,1.04,0.6,0.3,,4.93
Sam Lammers,517,,,23.7,15.6,,0.7,1.23,0.53,,3.51
Sam Lammers,38,,,47.5,27.5,,0.0,0.0,0.0,,5.0
Tariq Lamptey,1561,,,45.5,35.1,,0.23,2.2,1.33,,6.99
Manuel Lanzini,1786,,,61.5,55.7,,0.2,1.26,0.91,,9.44
Aymeric Laporte,2828,,,90.9,86.1,,0.22,0.99,0.54,,9.17
Julien Laporte,2891,,,44.3,38.1,,0.09,2.21,1.5,,8.22
Yasser Larouci,341,,,42.1,33.9,,0.26,1.58,0.79,,6.58
Kevin Lasagna,1184,,,21.7,14.5,,1.21,1.06,0.91,,4.7
Jamaal Lascelles,2058,,,29.1,22.2,,0.13,0.92,0.48,,7.73
Bryan Lasme,877,,,20.3,12.6,,0.72,0.62,0.41,,4.54
Paul Lasne,847,,,45.1,37.9,,0.11,2.45,1.06,,8.09
Latasa,9,,,50.0,40.0,,0.0,0.0,0.0,,10.0
Toni Lato,590,,,47.0,35.5,,0.0,1.82,0.91,,11.7
Armand Lauriente,2477,,,26.3,20.5,,1.35,1.42,1.05,,5.64
Darko Lazovi?,2766,,,50.3,35.8,,0.33,1.27,0.62,,7.75
Manuel Lazzari,1665,,,55.8,47.8,,0.32,1.68,0.76,,6.81
Théo Le Bris,61,,,22.9,17.1,,0.0,2.86,2.86,,5.71
Jérémy Le Douaron,1446,,,19.6,12.7,,0.99,0.62,0.5,,5.4
Enzo Le Fée,2194,,,49.7,39.2,,0.37,2.83,1.93,,7.87
Vincent Le Goff,3060,,,54.1,42.6,,0.12,2.03,1.18,,7.32
Maxime Le Marchand,860,,,57.0,50.0,,0.21,1.88,0.52,,8.23
Robin Le Normand,3330,,,57.0,51.0,,0.11,1.24,0.73,,9.32
Patrick Leal,2,,,1.0,0.0,,0.0,0.0,0.0,,1.0
Rafael Leão,2605,,,27.9,20.0,,1.31,0.8,0.62,,4.88
Jean-Louis Leca,2313,,,28.5,21.6,,0.0,0.0,0.0,,5.1
Jeremías Ledesma,3420,,,30.4,15.9,,0.03,0.0,0.0,,5.26
Pierre Lees-Melou,2265,,,41.0,32.4,,0.36,2.58,1.59,,9.13
Wu Lei,474,,,19.1,13.6,,0.94,0.75,0.75,,6.42
Maxim Leitsch,1538,,,47.1,39.8,,0.06,1.35,0.94,,10.7
Lucas Leiva,1697,,,65.8,60.6,,0.0,3.12,1.85,,10.2
Florian Lejeune,2699,,,38.7,30.9,,0.07,1.27,0.7,,10.6
Iñigo Lekue,1925,,,56.4,41.4,,0.05,1.92,1.17,,10.1
Thomas Lemar,1440,,,50.6,39.8,,0.5,1.63,1.0,,7.31
Félix Lemaréchal,9,,,150.0,120.0,,0.0,0.0,0.0,,30.0
Mario Lemina,1967,,,54.5,48.1,,0.18,3.24,2.01,,8.9
Fabien Lemoine,1117,,,70.7,62.7,,0.0,3.15,2.26,,11.6
Tim Lemperle,149,,,35.9,23.5,,1.76,2.94,2.35,,8.82
Ruben Lendinez,137,,,34.0,27.3,,0.0,4.0,3.33,,4.0
Clément Lenglet,826,,,88.6,80.4,,0.11,1.96,1.41,,10.5
Aaron Lennon,1551,,,22.3,14.8,,0.23,2.21,1.05,,5.29
Bernd Leno,360,,,27.8,18.0,,0.0,0.0,0.0,,4.0
Christopher Lenz,664,,,70.0,50.8,,0.0,3.78,1.62,,10.9
Léo Leroy,626,,,46.0,37.6,,0.29,4.14,2.14,,9.57
Alexandre Letellier,8,,,30.0,30.0,,0.0,0.0,0.0,,0.0
Robert Lewandowski,2946,,,23.5,18.0,,2.35,0.34,0.24,,4.53
Jamie Leweling,1959,,,19.4,12.8,,0.73,0.83,0.46,,5.28
Jamal Lewis,262,,,35.5,27.9,,0.0,3.79,2.07,,7.93
Luca Lezzerini,495,,,35.8,28.2,,0.0,0.0,0.0,,5.82
Ben Lhassine Kone,81,,,40.0,33.3,,0.0,3.33,2.22,,10.0
Yanis Lhery,72,,,18.8,13.8,,1.25,2.5,1.25,,7.5
Dimitri Liénard,2044,,,63.3,46.4,,0.13,3.0,1.63,,9.38
Philipp Lienhart,2870,,,54.1,46.6,,0.22,0.75,0.41,,11.1
Matthijs de Ligt,2674,,,56.0,50.4,,0.34,1.28,0.77,,8.35
Isaac Lihadji,238,,,36.9,26.2,,0.77,1.15,0.77,,10.0
Anderson Lima,65,,,45.7,35.7,,0.0,5.71,2.86,,4.29
Andreas Linde,1080,,,41.8,27.0,,0.0,0.0,0.0,,6.0
Victor Lindelöf,2355,,,49.4,44.4,,0.08,0.73,0.38,,9.62
Jesper Lindstrøm,1976,,,27.6,19.2,,0.82,1.41,0.95,,5.77
Karol Linetty,896,,,28.4,22.7,,0.2,1.3,0.8,,7.2
Jesse Lingard,367,,,37.8,32.2,,1.46,2.68,1.46,,6.34
Pol Lirola,1770,,,57.2,46.3,,0.1,1.32,0.86,,5.99
Valentino Livramento,2202,,,47.1,36.0,,0.12,2.2,1.22,,8.9
Dejan Ljubicic,1969,,,33.3,23.6,,0.32,1.23,0.96,,7.95
Javier Llabrés,132,,,42.0,29.3,,1.33,2.0,2.0,,5.33
Diego Llorente,2340,,,51.7,42.6,,0.12,2.15,1.35,,10.6
Marcos Llorente,2447,,,48.6,39.0,,0.07,1.91,1.21,,7.94
Hugo Lloris,3420,,,24.8,19.6,,0.0,0.0,0.0,,4.11
Giovani Lo Celso,238,,,56.9,45.0,,0.0,3.08,1.15,,7.31
Giovani Lo Celso,994,,,49.0,39.8,,0.55,1.64,1.27,,7.45
Julen Lobete,284,,,18.4,14.1,,0.63,1.25,0.94,,5.0
Stanislav Lobotka,1686,,,77.2,71.9,,0.05,2.14,1.6,,8.77
Jürgen Locadia,444,,,25.1,19.8,,1.43,1.02,1.02,,4.29
Jürgen Locadia,23,,,10.0,6.67,,0.0,3.33,3.33,,3.33
Manuel Locatelli,2160,,,60.1,51.6,,0.13,1.92,1.29,,9.21
Banzouzi Locko,1011,,,41.3,32.3,,0.18,2.41,1.61,,8.3
Renan Lodi,1181,,,48.9,38.3,,0.31,2.44,1.3,,7.18
Ruben Loftus-Cheek,1394,,,62.5,56.6,,0.39,2.0,1.29,,10.1
Kevin Long,410,,,21.3,17.4,,0.0,1.3,1.09,,6.96
Shane Long,308,,,22.1,13.5,,1.47,2.35,0.88,,4.41
Sean Longstaff,1464,,,37.2,30.1,,0.12,3.13,2.02,,9.57
Ademola Lookman,1453,,,33.3,26.0,,0.75,2.55,1.55,,6.96
Anthony Lopes,2982,,,34.0,28.6,,0.0,0.0,0.0,,4.23
David López,743,,,50.8,43.6,,0.48,3.01,2.05,,10.7
Diego López,3177,,,32.4,23.7,,0.0,0.0,0.0,,5.35
Javi López,462,,,40.2,30.6,,0.0,1.96,1.37,,3.73
Maxime Lopez,2938,,,78.8,72.3,,0.18,2.06,1.38,,9.17
Pau López,2610,,,45.7,38.8,,0.0,0.0,0.0,,5.66
Unai López,1160,,,63.4,51.7,,0.54,2.17,1.4,,8.29
Dion Lopy,1642,,,34.5,29.7,,0.11,3.19,2.09,,7.36
Samuel Loric,269,,,42.7,29.3,,0.0,2.33,1.0,,7.67
Anthony Losilla,2935,,,38.9,30.6,,0.28,2.64,1.72,,14.0
Jonas Lössl,180,,,31.0,22.0,,0.0,0.0,0.0,,4.0
Marcel Lotka,885,,,34.9,21.5,,0.0,0.0,0.0,,5.92
Jordan Lotomba,1782,,,50.7,41.5,,0.1,1.77,0.86,,6.77
Johaneko Louisjean,12,,,60.0,50.0,,0.0,0.0,0.0,,10.0
Imran Louza,1416,,,45.6,34.1,,0.25,3.25,2.04,,12.2
Matteo Lovato,305,,,57.6,49.1,,0.0,1.76,0.88,,10.0
Matteo Lovato,1238,,,42.1,35.1,,0.07,2.03,1.67,,13.3
Eduard Löwen,1416,,,43.2,28.5,,0.83,2.23,1.66,,8.66
Matthew Lowton,1772,,,44.2,30.4,,0.1,2.28,1.32,,9.24
Anthony Lozano,1672,,,16.3,10.0,,1.08,0.59,0.48,,4.14
Hirving Lozano,1613,,,33.4,26.1,,1.06,1.68,0.78,,5.31
Jean Lucas,1445,,,51.4,40.7,,0.56,3.23,2.24,,9.25
Anderson Lucoqui,743,,,29.0,18.4,,0.48,2.89,2.05,,6.02
José Luis Gayà,1871,,,42.5,30.9,,0.43,1.54,0.58,,6.63
José Luis Morales,2719,,,25.8,17.2,,1.06,0.83,0.53,,6.06
José Luis Palomino,2672,,,55.5,45.9,,0.1,3.33,2.22,,14.3
Florentino Luís,992,,,39.8,32.0,,0.09,3.82,2.45,,11.3
Luismi,13,,,90.0,60.0,,0.0,0.0,0.0,,10.0
Douglas Luiz,2715,,,49.5,41.3,,0.26,2.12,1.42,,9.44
Romelu Lukaku,1589,,,18.1,13.2,,0.73,0.28,0.17,,2.77
Castello Lukeba,2095,,,71.0,64.8,,0.13,1.59,0.86,,10.1
Dodi Lukebakio,176,,,18.0,13.5,,0.5,2.0,2.0,,2.5
Dodi Lukebakio,882,,,30.3,23.4,,0.71,1.12,0.41,,6.12
Saa Luki?,2982,,,53.5,46.8,,0.21,1.72,1.09,,10.4
Levi Lumeka,67,,,24.3,14.3,,0.0,0.0,0.0,,1.43
