name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries
Emmanuel Amankwaa Akurugu,79,,,44.4,30.0,,0.0,0.0,0.0,,10.0
Daniel Amartey,2123,,,62.5,57.3,,0.04,1.06,0.51,,8.94
Amath,884,,,21.5,16.9,,0.41,2.65,1.33,,4.8
Jordan Amavi,128,,,62.9,54.3,,0.0,5.0,2.14,,2.86
Jordan Amavi,413,,,68.7,58.3,,0.0,3.04,1.09,,10.2
Wisdom Amey,71,,,36.3,25.0,,0.0,2.5,0.0,,10.0
Kelvin Amian,2646,,,38.7,30.6,,0.24,2.31,1.33,,5.03
Nadiem Amiri,683,,,40.4,29.9,,0.79,1.45,0.92,,6.97
Nadiem Amiri,369,,,54.4,44.9,,0.49,1.95,0.98,,9.02
Ethan Ampadu,2282,,,45.4,34.1,,0.04,2.99,1.69,,10.4
Sofyan Amrabat,944,,,67.7,61.1,,0.29,2.95,2.1,,10.9
Joachim Andersen,2916,,,67.8,56.0,,0.09,1.11,0.71,,8.86
Felipe Anderson,2888,,,44.4,34.5,,0.5,2.55,1.56,,5.95
Sebastian Andersson,1257,,,18.1,12.0,,0.93,0.93,0.64,,3.07
Florin Andone,176,,,20.0,14.0,,0.5,0.0,0.0,,4.0
Andrés Andrade Cedeño,1046,,,44.6,30.4,,0.26,2.5,1.72,,11.2
Fredrik André Bjørkan,353,,,42.1,33.6,,0.0,2.82,1.79,,9.23
Benjamin André,2752,,,57.8,46.7,,0.16,3.76,2.55,,11.5
Robert Andrich,1817,,,50.0,41.2,,0.35,2.08,1.63,,11.3
José Ángel,1083,,,65.7,49.9,,0.25,2.42,2.0,,10.6
Angeliño,2298,,,59.1,42.9,,0.27,1.37,0.71,,7.92
Ebenezer Annan,25,,,36.7,13.3,,0.0,6.67,0.0,,13.3
Cristian Ansaldi,691,,,53.6,38.1,,0.13,2.73,1.17,,7.79
Janis Antiste,796,,,24.1,15.8,,0.23,2.05,1.25,,4.55
Waldemar Anton,2595,,,62.5,53.5,,0.21,1.63,1.15,,10.1
Josep Antoni Gayá,58,,,41.7,33.3,,0.0,0.0,0.0,,6.67
Michail Antonio,2971,,,21.5,14.1,,0.82,0.85,0.7,,4.18
Christopher Antwi-Adjei,1130,,,20.8,13.0,,0.79,2.14,1.51,,5.56
Houssem Aouar,2504,,,52.5,45.8,,0.9,1.91,1.19,,7.41
Adil Aouchiche,1081,,,52.6,40.0,,0.83,1.75,1.08,,8.0
Dennis Appiah,2099,,,42.7,33.3,,0.0,2.92,1.55,,7.12
Mauro Arambarri,2663,,,42.6,32.0,,0.27,2.16,1.25,,9.59
Mattia Aramu,2100,,,34.5,22.7,,0.69,0.9,0.47,,5.19
Charles Aránguiz,1578,,,62.1,52.1,,0.17,2.91,1.89,,11.2
Néstor Araujo,2617,,,52.2,45.7,,0.03,0.93,0.58,,9.73
Ronald Araújo,2272,,,65.2,58.9,,0.4,1.94,1.31,,8.21
Cameron Archer,27,,,16.7,16.7,,0.0,0.0,0.0,,6.67
Alphonse Areola,90,,,41.0,20.0,,0.0,0.0,0.0,,2.0
Jesús Areso,188,,,35.2,23.3,,0.0,2.38,1.43,,7.14
Matias Arezo,162,,,21.7,12.8,,1.67,2.22,1.11,,7.22
Santiago Arias,440,,,45.5,33.5,,0.2,2.65,1.22,,11.0
Adam Armstrong,1413,,,20.1,14.2,,0.89,0.64,0.45,,3.63
Stuart Armstrong,1473,,,44.8,35.5,,0.55,1.59,0.91,,8.96
Marko Arnautovi?,2694,,,31.0,22.8,,1.07,0.74,0.5,,3.85
Maximilian Arnold,2994,,,55.5,43.4,,0.42,1.5,1.02,,10.7
Kepa Arrizabalaga,360,,,34.8,28.8,,0.0,0.0,0.0,,4.0
Tolgay Arslan,1658,,,37.0,29.7,,0.49,1.74,1.25,,10.1
Arthur,749,,,17.3,13.7,,0.96,1.08,0.72,,1.93
Santiago Arzamendia,469,,,32.7,21.0,,0.19,2.69,2.31,,8.46
Takuma Asano,1608,,,21.1,14.7,,0.61,0.89,0.61,,5.81
Santiago Ascacíbar,2375,,,44.8,37.0,,0.04,3.64,2.31,,11.8
Sergio Asenjo,540,,,37.0,30.5,,0.0,0.0,0.0,,5.5
Alejandro Asensio,12,,,80.0,70.0,,0.0,0.0,0.0,,20.0
Marco Asensio,1731,,,47.1,38.5,,1.61,0.83,0.52,,5.31
Harrison Ashby,7,,,80.0,70.0,,0.0,0.0,0.0,,10.0
Kristoffer Askildsen,754,,,27.1,18.6,,0.0,1.9,1.19,,8.57
Fisnik Asllani,9,,,80.0,60.0,,0.0,0.0,0.0,,0.0
Kristjan Asllani,1353,,,49.7,41.1,,0.4,1.8,0.93,,8.4
Iago Aspas,3087,,,39.6,28.5,,1.08,0.41,0.2,,5.63
Lorenz Assignon,616,,,56.9,45.7,,0.59,2.06,1.47,,9.26
Simon Asta,783,,,46.1,33.0,,0.0,1.61,0.92,,9.31
Youcef Atal,1140,,,57.4,44.0,,0.39,2.52,1.65,,9.29
Pierre-Emerick Aubameyang,1082,,,20.3,15.4,,1.67,0.17,0.17,,2.58
Pierre-Emerick Aubameyang,1037,,,17.8,12.6,,1.39,1.04,0.61,,3.3
Emil Audero,2560,,,35.2,24.4,,0.0,0.0,0.0,,3.87
Tommaso Augello,2395,,,52.0,39.9,,0.08,1.69,0.9,,8.31
Jean-Kévin Augustin,84,,,20.0,16.7,,0.0,0.0,0.0,,1.11
Ludwig Augustinsson,793,,,63.6,51.4,,0.23,2.16,1.48,,7.05
Serge Aurier,1010,,,65.5,56.0,,0.18,1.88,1.25,,10.1
Ezequiel Ávila,1870,,,26.2,14.8,,0.72,0.77,0.43,,5.48
Taiwo Awoniyi,2174,,,20.0,13.8,,1.24,0.7,0.37,,4.5
Ramzi Aya,135,,,18.7,12.0,,0.0,0.67,0.67,,4.67
Jordan Ayew,2019,,,33.3,25.4,,0.36,2.32,1.52,,6.96
Kaan Ayhan,1354,,,57.9,52.5,,0.07,1.47,0.6,,8.2
Luke Ayling,2272,,,61.8,48.3,,0.12,3.13,1.79,,10.4
Karim Azamoum,388,,,33.7,25.1,,0.7,1.86,1.4,,4.88
Sardar Azmoun,359,,,28.0,20.0,,1.0,0.25,0.25,,5.25
César Azpilicueta,2070,,,74.5,62.7,,0.17,2.35,1.35,,7.35
Iddrisu Baba,1934,,,36.0,29.0,,0.37,3.3,2.37,,13.0
Carlos Bacca,513,,,19.1,12.5,,0.35,0.88,0.53,,2.81
Daniel Bachmann,1080,,,29.8,17.6,,0.0,0.0,0.0,,4.75
Loïc Bade,985,,,65.0,59.8,,0.0,0.46,0.28,,7.8
Milan Badelj,2844,,,50.7,39.9,,0.16,2.09,1.39,,12.6
Édgar Badía,2160,,,34.5,23.3,,0.0,0.0,0.0,,5.75
Benoît Badiashile,1838,,,66.0,59.1,,0.2,1.91,1.37,,11.7
Youssouph Badji,135,,,25.3,17.3,,0.0,0.0,0.0,,3.33
Miguel Baeza,2,,,5.0,4.0,,0.0,0.0,0.0,,0.0
Nicola Bagnolini,3,,,4.0,0.0,,0.0,0.0,0.0,,0.0
Issa Bah,9,,,60.0,50.0,,0.0,0.0,0.0,,40.0
Stéphane Bahoken,1099,,,18.0,13.8,,1.15,1.31,0.66,,3.28
Leon Bailey,761,,,26.4,17.5,,0.94,2.24,1.41,,5.06
Eric Bailly,217,,,33.3,26.7,,0.0,3.33,1.25,,9.58
Dénys Bain,180,,,41.0,39.5,,0.0,2.5,2.0,,4.5
Stefan Bajic,510,,,32.5,22.8,,0.0,0.0,0.0,,7.89
Nedim Bajrami,2054,,,38.8,27.5,,0.79,1.54,1.23,,5.26
Cédric Bakambu,356,,,17.3,13.0,,2.0,0.5,0.5,,3.25
Abdoulaye Bakayoko,307,,,38.5,27.4,,0.0,4.71,2.94,,10.0
Tiemoué Bakayoko,501,,,55.7,49.3,,0.0,3.39,2.32,,12.3
Mitchel Bakker,1822,,,60.5,50.0,,0.1,2.08,1.24,,7.87
Ridle Baku,2446,,,48.8,37.5,,0.29,2.32,1.25,,8.16
Dilane Bakwa,43,,,28.0,18.0,,2.0,2.0,0.0,,16.0
Tommaso Baldanzi,18,,,35.0,25.0,,0.0,0.0,0.0,,0.0
Alejandro Balde,188,,,72.4,66.7,,0.0,1.9,0.95,,7.14
Ibrahima Baldé,58,,,18.3,13.3,,0.0,0.0,0.0,,3.33
Keita Baldé,1229,,,19.6,14.5,,0.66,0.66,0.22,,3.58
Gareth Bale,280,,,20.6,15.5,,1.94,0.32,0.32,,3.23
Mikel Balenziaga,2027,,,44.6,34.0,,0.09,2.22,1.6,,8.93
Leonardo Balerdi,950,,,76.3,70.5,,0.0,1.13,0.75,,9.34
Iván Balliu,3147,,,51.3,39.2,,0.09,0.91,0.43,,8.43
Fodé Ballo-Touré,446,,,54.6,46.2,,0.2,3.8,2.4,,10.2
Folarin Balogun,70,,,10.0,5.0,,0.0,0.0,0.0,,3.75
Abdoulaye Bamba,458,,,36.7,29.0,,0.0,1.18,0.0,,5.88
Jonathan Bamba,2428,,,42.6,32.1,,0.44,1.0,0.7,,6.63
Patrick Bamford,559,,,16.6,13.7,,0.81,0.48,0.32,,3.06
Filippo Bandinelli,1955,,,34.8,26.4,,0.55,2.3,1.2,,8.2
Mattia Bani,1211,,,34.0,25.0,,0.0,1.78,0.81,,11.0
Simon Banza,124,,,20.7,14.3,,2.86,2.14,1.43,,4.29
Shandon Baptiste,910,,,30.2,25.1,,0.4,0.69,0.4,,8.12
Antonín Barák,2340,,,42.7,34.2,,0.77,1.0,0.65,,7.23
Barbero,21,,,65.0,30.0,,0.0,5.0,5.0,,15.0
Danilo Barbosa,90,,,41.0,33.0,,0.0,0.0,0.0,,7.0
Barcia,75,,,27.5,10.0,,0.0,0.0,0.0,,13.8
Bradley Barcola,263,,,30.0,21.4,,0.69,2.41,1.72,,7.93
Melvin Bard,2589,,,64.8,52.7,,0.07,2.29,1.6,,9.31
Enis Bardhi,1701,,,39.7,28.1,,0.37,1.27,0.79,,6.77
Francesco Bardi,177,,,25.0,17.0,,0.0,0.0,0.0,,2.5
Keidi Bare,1481,,,52.8,45.5,,0.06,2.0,1.21,,9.94
Nicolò Barella,2913,,,57.0,47.7,,0.37,2.04,1.02,,9.51
Kike Barja,865,,,39.8,27.4,,0.63,1.67,0.73,,7.19
Ross Barkley,179,,,63.5,52.5,,2.0,0.5,0.5,,6.0
Aymen Barkok,160,,,39.4,28.9,,0.56,3.33,1.67,,11.7
Ashley Barnes,808,,,22.1,14.4,,0.56,1.44,1.11,,5.11
Harvey Barnes,2101,,,32.2,23.9,,1.03,1.33,0.56,,5.62
